ID _Data,% remotion _10psi,prediction_training,C-006,ATSC2c,IC3,,,,
16_P9,1.234567901,training,0.081,-0.003,0.157,,,,
6_P9,2.263374486,training,0.806,0.037,6.76,,,,
31_P9,2.674897119,training,0.113,-0.002,0.408,,,,
34_P9,2.880658436,training,0.113,-0.004,0.188,,,,
4_P9,3.086419753,training,0.081,0.004,0.676,,,,
30_P9,3.086419753,training,1.128,0.026,7.402,,,,
62_P9,3.456790123,training,1.772284055,-0.064879717,3.199603231,,,,
32_P9,4.115226337,training,0.564,-0.008,2.038,,,,
10_P9,4.732510288,training,0.081,0.004,0.709,,,,
56_P9,5.185185185,training,0.354456811,-0.007939494,1.038987839,,,,
7_P9,5.761316872,training,0.081,0.005,0.776,,,,
20_P9,6.378600823,training,0.564,0.003,2.87,,,,
13_P9,6.995884774,training,0.081,0,0.377,,,,
43_P9,7.407407407,training,0.241675098,-0.002608905,0.930608668,,,,
9_P1,8.383233533,training,0.257,0.015,0.348,,,,
36_P9,8.436213992,training,1.128,-0.043,1.884,,,,
21_P9,10.08230453,training,0.113,0.001,0.574,,,,
29_P9,10.08230453,training,6.677,0.272,3.701,,,,
49_P9,10.12345679,training,0.241675098,-0.007645354,0.531541475,,,,
61_P9,10.12345679,training,0.354456811,-0.012975943,0.639920646,,,,
18_P1,10.81081081,training,0.3,0.016,0.366,,,,
1_P9,10.90534979,training,0.081,0.002,0.543,,,,
35_P9,10.90534979,training,0.564,-0.022,0.942,,,,
40_P9,11.11111111,training,0.241675098,-0.003868017,0.830841869,,,,
2_P9,12.1399177,training,0.403,0.01,2.715,,,,
5_P9,12.1399177,training,0.403,0.019,3.38,,,,
8_P9,12.96296296,training,0.403,0.025,3.879,,,,
28_P9,12.96296296,training,0.113,0.003,0.74,,,,
24_P9,13.16872428,training,1.128,0.022,7.07,,,,
3_P9,13.3744856,training,0.806,0.021,5.43,,,,
50_P9,14.07407407,training,1.208375492,-0.038226771,2.657707376,,,,
14_P9,14.19753086,training,0.403,0,1.884,,,,
57_P9,15.30864198,training,1.772284055,-0.039697471,5.194939193,,,,
48_P9,15.55555556,training,2.416750984,-0.034483132,8.640974688,,,,
39_P9,15.80246914,training,2.416750984,-0.055468337,6.97819472,,,,
F10_P2,16.19047619,training,0.096,0.038,1.079,,,,
26_P1,16.20111732,training,0.179,0.035,0.811,,,,
37_P9,16.54320988,training,0.241675098,-0.005546834,0.697819472,,,,
63_P9,17.77777778,training,3.54456811,-0.129759434,6.399206461,,,,
27_P9,19.34156379,training,1.128,0.035,8.067,,,,
15_P9,19.5473251,training,0.806,0,3.767,,,,
19_P9,19.95884774,training,0.113,0.001,0.574,,,,
65_P9,20.49382716,training,1.772284055,-0.07871925,2.103016469,,,,
23_P9,20.781893,training,0.564,0.011,3.535,,,,
46_P9,21.97530864,training,0.241675098,-0.003448313,0.864097469,,,,
54-P9,22.4691358,training,2.416750984,-0.104149816,3.120877749,,,,
15_P1,24.26035503,training,0.107,0.009,0.195,,,,
25_P9,25.30864198,training,0.113,0.003,0.807,,,,
3_P1,27.27272727,training,0.027,0.008,0.187,,,,
F25_P2,34.6031746,training,0.6,0.237,6.743,,,,
33_P9,39.71193416,training,1.128,-0.016,4.077,,,,
F30_P2,51.96629213,training,0.864,0.342,9.71,,,,
