ID _Data,% _remotion _20psi,prediction_training,nOHp,MATS3Z,ATS4are,
3_P1,68.65587349,training,0,-0.04525181,8.349109668,
9_P1,69.42036438,training,0,-0.032400339,45.73339535,
15_P1,68.39825054,training,0,-0.027592634,20.17946347,
18_P1,67.08866717,training,0,-0.054222024,54.77038411,
26_P1,64.26049024,training,0,-0.179934494,45.40386335,
F10_P2,42.10526316,training,0.096,-0.269281495,25.19088,
F20_P2,81.04575163,training,0.384,-1.077125982,100.76352,
F25_P2,80.55555556,training,0.6,-1.683009347,157.443,
F30_P2,83.44827586,training,0.864,-2.423533459,226.71792,
1_P4,81.24843433,training,0.9,-0.293474694,43.956,
2_P4,71.8726515,training,0.886142028,-1.669997537,162.2586805,
3_P4,81.58120391,training,0.886142028,-3.374630418,309.1162125,
5_P4,79.07825001,training,1.208375492,-1.657402866,167.8590981,
7_P4,97.02138281,training,1.772284055,-0.612582463,89.54530968,
8_P4,70.23945062,training,1.772284055,-3.339995074,324.5173609,
10_P4,99.03551102,training,2.416750984,-0.587393122,100.7461449,
1_P9,76.38506876,training,0.080558366,0.005765132,1.400104404,
2_P9,71.90569745,training,0.402791831,0.028825659,7.000522018,
3_P9,82.043222,training,0.805583661,0.057651318,14.00104404,
4_P9,71.90569745,training,0.080558366,0.006512693,1.400104404,
5_P9,80.15717092,training,0.402791831,0.032563465,7.000522018,
6_P9,77.09233792,training,0.805583661,0.065126929,14.00104404,
8_P9,71.43418468,training,0.402791831,0.035366819,7.000522018,
9_P9,73.79174853,training,0.805583661,0.070733638,14.00104404,
11_P9,80.62868369,training,0.402791831,0.033497916,7.000522018,
12_P9,82.043222,training,0.805583661,0.066995832,14.00104404,
13_P9,76.85658153,training,0.080558366,0.00483068,1.400104404,
15_P9,98.07465619,training,0.805583661,0.048306803,14.00104404,
16_P9,70.72691552,training,0.080558366,0.003598158,1.400104404,
17_P9,74.02750491,training,0.402791831,0.017990788,7.000522018,
18_P9,81.10019646,training,0.805583661,0.035981575,14.00104404,
19_P9,70.01964637,training,0.112781713,0.007024599,1.960146165,
21_P9,67.66208251,training,0.112781713,0.007024599,1.960146165,
22_P9,73.55599214,training,0.112781713,0.00777216,1.960146165,
23_P9,73.32023576,training,0.563908563,0.0388608,9.800730825,
24_P9,71.90569745,training,1.127817126,0.0777216,19.60146165,
26_P9,73.32023576,training,0.563908563,0.041664154,9.800730825,
27_P9,71.66994106,training,1.127817126,0.083328309,19.60146165,
28_P9,66.2475442,training,0.112781713,0.00795905,1.960146165,
29_P9,73.55599214,training,0.563908563,0.039795251,9.800730825,
30_P9,74.49901768,training,1.127817126,0.079590503,19.60146165,
33_P9,99.01768173,training,1.127817126,0.060901474,19.60146165,
34_P9,65.06876228,training,0.112781713,0.004857625,1.960146165,
35_P9,72.37721022,training,0.563908563,0.024288123,9.800730825,
36_P9,90.76620825,training,1.127817126,0.048576246,19.60146165,
39_P9,61.66975881,training,2.416750984,0.120624672,42.00313211,
40_P9,52.54174397,training,0.241675098,0.012810028,4.200313211,
41_P9,38.07050093,training,1.208375492,0.064050142,21.00156605,
43_P9,46.53061224,training,0.241675098,0.013370699,4.200313211,
45_P9,48.0890538,training,2.416750984,0.133706992,42.00313211,
51_P9,48.31168831,training,2.416750984,0.098947267,42.00313211,
46_P9,48.31168831,training,0.241675098,0.012996919,4.200313211,
47_P9,54.10018553,training,1.208375492,0.064984593,21.00156605,
49_P9,45.64007421,training,0.241675098,0.011128016,4.200313211,
54_P9,50.5380334,training,2.416750984,0.098947267,42.00313211,
53_P9,59.66604824,training,1.208375492,0.049473633,21.00156605,
56_P9,53.2096475,training,0.354456811,0.017778834,6.160459376,
57_P9,43.19109462,training,1.772284055,0.08889417,30.80229688,
60_P9,47.42115028,training,1.772284055,0.087025267,30.80229688,
62_P9,53.87755102,training,1.772284055,0.077680752,30.80229688,
63_P9,46.53061224,training,3.54456811,0.155361505,61.60459376,
